INSERT_UPDATE Currency;isocode[unique=true];name[lang=en];active;symbol
;CHF;Swiss franc;true;CHF
;EUR;Euro;true;EUR
;USD;US Dollar;true;USD
;GBP;Pound Sterling;true;GBP
;AUD;Australian Dollar;true;AUD
;BRL;Brazilian Real;true;BRL
;CAD;Canadian Dollar;true;CAD  
;CZK;Czech Koruna;true;CZK  
;HUF;Hungarian Forint;true;HUF  
;CNY;Chinese Yuan;true;CNY   
;DKK;Danish Krone;true;DKK  
;HKD;Hong Kong Dollar;true;HKD  
;JPY;Japanese Yen;true;JPY 
;TWD;New Taiwan Dollar;true;TWD  
;INR;Indian Rupee;true;INR  
;NZD;New Zealand Dollar;true;NZD  
;NOK;Norwegian Krone;true;NOK  
;PLN;Polish Zloty;true;PLN  
;MXN;Mexican Peso;true;MXN  
;SGD;Singaporean Dollar;true;SGD  
;SEK;Swedish Krona;true;SEK  
;ZAR;South African Rand;true;ZAR  